obbligatorietà di contesto
vocabolario chiuso
bene in esame
vocabolario aperto
archeologici versione
scheda di catalogo
attività culturali
contenitore fisico
forma di testo libero
indicazioni cronologiche
bdm-beni demoetnoantropologici materiali versione
demoetnoantropologici materiali versione
materiali versione
chiuso lista
vocabolario chiuso lista
testo libero
demoetnoantropologici immateriali versione
iccd bdi-beni demoetnoantropologici immateriali versione
immateriali versione
bene complesso
forma di testo
documentazione di corredo
eventuali specifiche
norme di compilazione
iccd sm-strumenti
carattere generale per la compilazione
iccd sm-strumenti musicali versione
musicali versione
beni di proprietà
iccd normativa trasversale versione
trasversale versione
contenitore giuridico
f versione
f versione definitiva
schede pregresse
attività di catalogazione
file digitale
località estera
introduttivo indicazioni
testo introduttivo indicazioni
chiuso valore
vocabolario chiuso valore
ente schedatore
proprietà privata
metri metri
attività di aggiornamento
indicazioni di carattere generale
recupero pregresso
ente schedatore
iccd ma-monumenti archeologici versione
iccd ma-monumenti
a-architettura versione
ripartizione amministrativa
iccd a-architettura versione
campo strutturato
profilo di accesso
sopralluogo rilievo
secolo per i secoli
operazioni di recupero dati
scheda di insieme
seconda metà
metodologia catalografica
riferimento cronologico
proprietà mista
s-stampe versione
codice univoco
chiuso definizione
vocabolario chiuso definizione
formato digitale di trasferimento
testo introduttivo
caso di documentazione allegata
gradi sessadecimali
stratigrafici versione
occasione di operazioni
materiali archeologici versione
genere di documentazione
documento audio
schede figlie
caso di documentazione
verifica scientifica
detenzione mista
gradi sessadecimali metri
sessadecimali metri
sessadecimali metri metri
prima metà
intero bene
corretto collegamento
indicazioni di carattere
fascia cronologica
esplicative documentazione
note esplicative documentazione
localizzazione fisica
vestimenti antichi
documentazione allegata documentazione
metri metri metri
archivio locale
forma anno
beni di proprietà privata
modello schedografico
obbligatorietà assoluta
inizio fine
catalogo documentazione
trattino medio
note esplicative
note informazioni aggiuntive
scheda di catalogo documentazione
segni di interpunzione
specifica parte
tipo di localizzazione
ordine cronologico inverso
bibliografia di confronto
ente responsabile
documentazione allegata
livello di visibilità
struttura conservativa
documento fotografico
bibliografico completo
contesto alternativa
documento video-cinematografico
configurazione strutturale
fonte archivistica
indicazioni di dettaglio
note informazioni
tipo di scheda
metà prima
metà prima metà
parte componente
riferimento bibliografico
ente collettivo
repertorio locale
relazione urbanistico
revisione di schede
sigla corrispondente
comunità valdese
detenzione mista pubblica
privata proprietà
proprietà mista pubblica
territoriale proprietà
unità di misura
presenti segni
ecclesiastica detenzione
territoriale detenzione
fine metà
obbligatorietà alternativa
cattolico proprietà
sottocampo con la sigla
numero catalogo
numero catalogo generale
privata detenzione
mm film
fine metà prima
inizio fine metà
metà primo
obbligatorietà di contesto alternativa
dimensioni fisiche
localizzazione geografico-amministrativa
locuzione specialistica
inizio fine metà prima
metà primo quarto
tipologie di schede
cattolico detenzione
luogo di collocazione
arte versione
giri disco
metà seconda
metà seconda metà
prima metà seconda
seconda metà primo
quarto ultimo quarto
revisione di schede pregresse
responsabile ricerca
bibliografia specifica
ricognizione archeologica
sistema informativo generale
parentesi tonde
stessa sequenza
metà prima metà seconda
seconda metà primo quarto
aperto valore
vocabolario aperto valore
seguenti formati elettronici
caso di valori negativi
allegata documentazione
sequenza numerica
ecclesiastica proprietà
formati elettronici
dati catalografici
metà seconda metà primo
bene numismatico
risorse elettroniche con accesso
ente competente
schede di catalogo
schede storiche
provvedimenti di tutela
diapositiva colore
riproduzione di fotografia
diapositiva b
sottoparte componente
profilo di visibilità
tipo di notazione
numeri di catalogo
identificativo univoco
abbreviazione aa
ordine di comparizione
separatore per i decimali
chiuso analisi
vocabolario chiuso analisi
posizione parti
risorse elettroniche con accesso remoto
tipo di datazione
documentazione multimediale
sola sigla
opera finale
acquisto alienazione
analisi stilistica analisi
stilistica analisi
documentazione nota relativa
metri gradi
metri gradi sessadecimali
metri metri gradi
metri metri gradi sessadecimali
base cartografica
precedente luogo
sola occorrenza
eventuali documenti originali
indirizzo di rete completo
persona giuridica senza scopo
processo catalografico
rete completo
tipologia di scheda
specifiche relative
foto aerea
informazione richiesta
documentazione nota
campo precedente
catalogo generale
scheda pregressa
fotografia aerea
numero di catalogo generale
denominazione ufficiale
documentazione audio
volume in numeri
stato di appartenenza
attività di ispezione
luogo di reperimento
ripartizione geografico-amministrativa
normativa trasversale
dati pregressi
citazioni bibliografiche
opportuno riferimento
caso di valori
condizione materiale
beni demoetnoantropologici
analisi stilistica analisi storica
stilistica analisi storica
localizzazione attuale
metà metà
piattaforma cooperativa
processi di interoperabilità
relazione urbanistico ambientale
relazione inversa
paesaggio per le province
ritrovamento fortuito
sottocampo precedente
supporto video-cinematografico
esempio di valore
specifica scheda
campagne di catalogazione
eventuale indicazione
assoluta alternativa
analisi iconografica analisi
iconografica analisi
attività di revisione
positivo colore
elemento con obbligatorietà
forma redazionale
lettere in carattere
referente per la verifica
referente per la verifica scientifica
riferimento bibliografico in modo
riferimento bibliografico in modo univoco
scheda di bene
soggetto responsabile
elementi di confine
citazione completa
